#
#  0. 客户端名称 (clientName, C32)
#  1. 客户端编号 (clientId)
#  2. 客户端禁用标识 (isDisabled)
#    - 0 或 不填 代表该客户端未设置禁用标识，正常加载
#    - >0 代表该客户端设置禁用标识，不进行加载
#    - <0 取值异常，OES停止启动
#  3. API禁用标识 (isApiForbidden)
#    - 0 或 不填 代表允许该客户使用API登录
#    - >0 代表禁止该客户使用API登录
#    - <0 取值异常，OES停止启动
#  4. 客户端类型 (clientType), 预留字段
#    - 1 投资人
#  5. 所有者类型 (ownerType)
#    - 1   个人投资者
#    - 102 会员
#    - 103 机构投资者
#    - 104 自营
#    - 105 做市商
#  6. 客户端说明 (clientMemo, C32)
#  7. 客户端密码 (clientPwd, C40)
#  8. 大宗交易标识 (isBlockTrader)
#    - 0 或 不填 代表该客户不进行大宗交易，盘后不会解冻其资金
#    - >0 代表该客户会进行大宗交易，盘后会解冻其可取额度的资金
#    - <0 取值异常，OES停止启动
#  9. 上海现货/信用账户对应的PBU代码 (sseStkPbuId)
# 10. 上海衍生品账户对应的PBU代码 (sseOptPbuId)
# 11. 深圳现货/信用账户对应的PBU代码 (szseStkPbuId)
# 12. 深圳衍生品账户对应的PBU代码 (szseOptPbuId)
# 13. 深圳交易网关号 (szseTgwId)
#    - 填 0 或 不填 代表该客户的深证委托优先通过交易网关组的第一个交易网关上报
#    - 填 * 代表该客户的深证委托使用交易网关组下每一个活跃交易网关上报，策略为Round-Robin
#    - 其他内容会被作为深圳交易网关ID识别，此时该客户的深证委托优先通过此交易网关上报
# 14. 委托通道最大连接数 (maxOrdConnect)
#    - 填 <=0 或 不填 代表不限制委托通道连接数量
# 15. 回报通道最大连接数 (maxRptConnect)
#    - 填 <=0 或 不填 代表不限制回报通道连接数量
# 16. 查询通道最大连接数 (maxQryConnect)
#    - 填 <=0 或 不填 代表不限制查询通道连接数量
# 17. 委托通道的流量控制 (ordTrafficLimit)
#    - 委托通道每秒可以接受的最大请求次数，建议默认设置为500
#    - 填 <=0 或者 不填 表示不限制
# 18. 查询通道的流量控制 (qryTrafficLimit)
#    - 查询通道每秒可以接受的最大请求次数，建议默认设置为500
#    - 填 <=0 或者 不填 表示不限制
#    - 小于10 的流控值不被接受
# 19. 与该客户端相关联的客户号 (relationCust 以','号分隔的客户号列表)
#

#clientName |clientId |isDisabled |isApiForbidden |clientType |ownerType |clientMemo |clientPwd |isBlockTrader |sseStkPbuId |sseOptPbuId |szseStkPbuId |szseOptPbuId |szseTgwId |maxOrdConnect |maxRptConnect |maxQryConnect |ordTrafficLimit |qryTrafficLimit |relationCust
customer1    |255     |0          |               |1          |1         |customer    |123456    |0             |88822       |88822       |555213       |0            |*         |0            |0            |0            |0             |0             |188800000000000,188800000000001,188800000000002,188800000000003,188800000000004,188800000000005,188800000000006,188800000000007,188800000000008,188800000000009,188800000000010,188800000000011,188800000000012,188800000000013,188800000000014,188800000000015,188800000000016,188800000000017,188800000000018,188800000000019

customer20  |20      |0          |               |1          |1         |customer20  |mporma    |0             |88822       |88822       |555213       |0            |*         |10            |10            |10            |500             |500             |188800000000020
customer21  |21      |0          |               |1          |1         |customer21  |zr2c1b    |0             |88822       |88822       |555213       |0            |*         |10            |10            |10            |500             |500             |188800000000021
customer22  |22      |0          |               |1          |1         |customer22  |ktbxsl    |0             |88822       |88822       |555213       |0            |*         |10            |10            |10            |500             |500             |188800000000022
customer23  |23      |0          |               |1          |1         |customer23  |8ojhgu    |0             |88822       |88822       |555213       |0            |*         |10            |10            |10            |500             |500             |188800000000023
customer24  |24      |0          |               |1          |1         |customer24  |rh2vj9    |0             |88822       |88822       |555213       |0            |*         |10            |10            |10            |500             |500             |188800000000024
customer25  |25      |0          |               |1          |1         |customer25  |ad5yi3    |0             |88822       |88822       |555213       |0            |*         |10            |10            |10            |500             |500             |188800000000025
customer26  |26      |0          |               |1          |1         |customer26  |ktsf5j    |0             |88822       |88822       |555213       |0            |*         |10            |10            |10            |500             |500             |188800000000026
customer27  |27      |0          |               |1          |1         |customer27  |l7dh1v    |0             |88822       |88822       |555213       |0            |*         |10            |10            |10            |500             |500             |188800000000027
customer28  |28      |0          |               |1          |1         |customer28  |p1hhas    |0             |88822       |88822       |555213       |0            |*         |10            |10            |10            |500             |500             |188800000000028
customer29  |29      |0          |               |1          |1         |customer29  |5bg6tz    |0             |88822       |88822       |555213       |0            |*         |10            |10            |10            |500             |500             |188800000000029
customer30  |30      |0          |               |1          |1         |customer30  |j0m8ml    |0             |88822       |88822       |555213       |0            |*         |10            |10            |10            |500             |500             |188800000000030
customer31  |31      |0          |               |1          |1         |customer31  |tq8l72    |0             |88822       |88822       |555213       |0            |*         |10            |10            |10            |500             |500             |188800000000031
customer32  |32      |0          |               |1          |1         |customer32  |d88iyd    |0             |88822       |88822       |555213       |0            |*         |10            |10            |10            |500             |500             |188800000000032
customer33  |33      |0          |               |1          |1         |customer33  |okqk0i    |0             |88822       |88822       |555213       |0            |*         |10            |10            |10            |500             |500             |188800000000033
customer34  |34      |0          |               |1          |1         |customer34  |ojt3bx    |0             |88822       |88822       |555213       |0            |*         |10            |10            |10            |500             |500             |188800000000034
