#
#  0. 客户端名称 (clientName, C32)
#  1. 客户端编号 (clientId)
#  2. 客户端禁用标识 (isDisabled)
#    - 0 或 不填 代表该客户端未设置禁用标识，正常加载
#    - >0 代表该客户端设置禁用标识，不进行加载
#    - <0 取值异常，OES停止启动
#  3. API禁用标识 (isApiForbidden)
#    - 0 或 不填 代表允许该客户使用API登录
#    - >0 代表禁止该客户使用API登录
#    - <0 取值异常，OES停止启动
#  4. 客户端类型 (clientType), 预留字段
#    - 1 投资人
#  5. 所有者类型 (ownerType)
#    - 1   个人投资者
#    - 102 会员
#    - 103 机构投资者
#    - 104 自营
#    - 105 做市商
#  6. 客户端说明 (clientMemo, C32)
#  7. 客户端密码 (clientPwd, C40)
#  8. 大宗交易标识 (isBlockTrader)
#    - 0 或 不填 代表该客户不进行大宗交易，盘后不会解冻其资金
#    - >0 代表该客户会进行大宗交易，盘后会解冻其可取额度的资金
#    - <0 取值异常，OES停止启动
#  9. 上海现货/信用账户对应的PBU代码 (sseStkPbuId)
# 10. 上海衍生品账户对应的PBU代码 (sseOptPbuId)
# 11. 深圳现货/信用账户对应的PBU代码 (szseStkPbuId)
# 12. 深圳衍生品账户对应的PBU代码 (szseOptPbuId)
# 13. 深圳交易网关号 (szseTgwId)
#    - 填 0 或 不填 代表该客户的深证委托优先通过交易网关组的第一个交易网关上报
#    - 填 * 代表该客户的深证委托使用交易网关组下每一个活跃交易网关上报，策略为Round-Robin
#    - 其他内容会被作为深圳交易网关ID识别，此时该客户的深证委托优先通过此交易网关上报
# 14. 委托通道最大连接数 (maxOrdConnect)
#    - 填 <=0 或 不填 代表不限制委托通道连接数量
# 15. 回报通道最大连接数 (maxRptConnect)
#    - 填 <=0 或 不填 代表不限制回报通道连接数量
# 16. 查询通道最大连接数 (maxQryConnect)
#    - 填 <=0 或 不填 代表不限制查询通道连接数量
# 17. 委托通道的流量控制 (ordTrafficLimit)
#    - 委托通道每秒可以接受的最大请求次数，建议默认设置为500
#    - 填 <=0 或者 不填 表示不限制
# 18. 查询通道的流量控制 (qryTrafficLimit)
#    - 查询通道每秒可以接受的最大请求次数，建议默认设置为500
#    - 填 <=0 或者 不填 表示不限制
#    - 小于10 的流控值不被接受
# 19. 与该客户端相关联的客户号 (relationCust 以','号分隔的客户号列表)
#

#clientName |clientId |isDisabled |isApiForbidden |clientType |ownerType |clientMemo |clientPwd |isBlockTrader |sseStkPbuId |sseOptPbuId |szseStkPbuId |szseOptPbuId |szseTgwId    |maxOrdConnect |maxRptConnect |maxQryConnect |ordTrafficLimit |qryTrafficLimit |relationCust
customer1   |1        |0          |0              |1          |1         |customer   |123456    |0             |88822       |88822       |555213       |0            |*            |0           |0           |0           |0             |0             |188822000000001
customer2   |2        |0          |0              |1          |1         |customer   |123456    |0             |88822       |88822       |555213       |0            |*            |5             |3             |3             |500             |500             |188822000000002
customer3   |3        |0          |0              |1          |1         |customer   |123456    |0             |88822       |88822       |555213       |0            |*            |5             |3             |3             |500             |500             |000000000000001
customer10  |4        |0          |0              |2          |1         |customer   |123456    |0             |88822       |88822       |555213       |0            |*            |5             |3             |3             |500             |500             |000000000000101

testcust1   |101      |0          |0              |1          |1         |customer   |123456    |0             |88822       |88822       |555213       |0            |W123456Q0000 |5             |3             |3             |500             |500             |555213000000001
testcust2   |102      |0          |0              |1          |1         |customer   |123456    |0             |88822       |88822       |555213       |0            |W123456Q0001 |5             |3             |3             |500             |500             |555213000000002
testcust3   |103      |0          |0              |1          |1         |customer   |123456    |0             |88822       |88822       |555213       |0            |*            |5             |3             |3             |500             |500             |555213000000003
testcust4   |104      |0          |0              |1          |1         |customer   |123456    |0             |88822       |88822       |555215       |0            |0            |5             |3             |3             |500             |500             |555215000000001
testcust5   |105      |0          |0              |1          |1         |customer   |123456    |0             |88822       |88822       |555215       |0            |*            |5             |3             |3             |500             |500             |555215000000002
testcust6   |106      |0          |0              |1          |1         |customer   |123456    |0             |88822       |88822       |555215       |0            |*            |5             |3             |3             |500             |500             |30000002
testcust7   |107      |0          |0              |1          |1         |customer   |123456    |0             |88822       |88822       |555215       |0            |*            |5             |3             |3             |500             |500             |70001947
